Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
0,0,40.0,325.0,166.5
0,1,60.0,179.0,159.0
0,2,64.0,90.0,145.5
0,3,48.0,178.0,147.0
0,4,50.0,385.0,172.5
0,5,44.0,267.0,166.5
0,6,55.0,311.0,181.5
0,7,34.0,252.0,160.5
0,8,30.0,268.0,157.5
0,9,64.0,222.0,135.0
0,10,45.0,179.0,150.0
0,11,30.0,223.0,166.5
0,12,79.0,342.0,157.5
0,13,74.0,237.0,138.0
0,14,59.0,90.0,180.0
0,15,55.0,285.0,136.5
0,16,44.0,265.0,168.0
0,17,85.0,237.0,144.0
0,18,50.0,178.0,153.0
0,19,54.0,133.0,180.0
0,20,45.0,256.0,171.0
0,21,50.0,295.0,165.0
0,22,69.0,266.0,172.5
0,23,45.0,224.0,190.5
0,24,25.0,120.0,151.5
0,25,103.0,221.0,166.5
0,26,68.0,195.0,142.5
0,27,40.0,195.0,144.0
0,28,34.0,442.0,199.5
0,29,53.0,238.0,181.5
0,30,39.0,222.0,154.5
0,31,69.0,284.0,157.5
0,32,55.0,357.0,145.5
0,33,69.0,325.0,156.0
0,34,45.0,356.0,136.5
0,35,55.0,104.0,175.5
0,36,73.0,223.0,141.0
0,37,50.0,251.0,141.0
0,38,44.0,328.0,169.5
0,39,29.0,165.0,174.0
0,40,40.0,118.0,150.0
0,41,55.0,163.0,163.5
0,42,40.0,267.0,135.0
0,43,44.0,179.0,171.0
0,44,45.0,192.0,145.5
0,45,64.0,221.0,141.0
0,46,65.0,252.0,166.5
0,47,69.0,225.0,154.5
0,48,68.0,385.0,169.5
0,49,64.0,177.0,142.5
0,50,64.0,149.0,154.5
0,51,30.0,252.0,117.0
0,52,60.0,299.0,159.0
0,53,69.0,236.0,147.0
0,54,75.0,149.0,135.0
0,55,54.0,89.0,163.5
0,56,55.0,133.0,157.5
0,57,58.0,224.0,156.0
0,58,65.0,241.0,156.0
0,59,30.0,178.0,162.0
0,60,63.0,281.0,135.0
0,61,74.0,207.0,190.5
0,62,29.0,251.0,171.0
0,63,70.0,268.0,148.5
0,64,65.0,222.0,154.5
0,65,50.0,237.0,162.0
0,66,30.0,164.0,153.0
0,67,45.0,268.0,145.5
0,68,40.0,267.0,175.5
0,69,64.0,235.0,157.5
0,70,79.0,295.0,178.5
0,71,25.0,118.0,151.5
0,72,65.0,119.0,145.5
0,73,50.0,207.0,154.5
0,74,30.0,296.0,156.0
0,75,94.0,324.0,150.0
0,76,65.0,118.0,157.5
0,77,65.0,253.0,159.0
0,78,45.0,237.0,166.5
0,79,64.0,355.0,165.0
0,80,49.0,135.0,138.0
0,81,55.0,267.0,151.5
0,82,54.0,194.0,159.0
0,83,45.0,163.0,156.0
0,84,64.0,283.0,132.0
0,85,45.0,343.0,162.0
0,86,65.0,179.0,174.0
0,87,60.0,279.0,151.5
0,88,55.0,192.0,162.0
0,89,70.0,104.0,153.0
0,90,45.0,252.0,159.0
0,91,73.0,282.0,169.5
0,92,39.0,237.0,168.0
0,93,35.0,164.0,156.0
0,94,60.0,223.0,153.0
0,95,30.0,165.0,153.0
0,96,54.0,267.0,186.0
0,97,34.0,385.0,166.5
0,98,64.0,286.0,153.0
0,99,79.0,149.0,145.5
1,0,163.0,1057.0,370.5
1,1,229.0,852.0,339.0
1,2,128.0,590.0,289.5
1,3,117.0,874.0,340.5
1,4,178.0,808.0,331.5
1,5,186.0,643.0,295.5
1,6,139.0,641.0,337.5
1,7,167.0,568.0,345.0
1,8,165.0,716.0,345.0
1,9,168.0,870.0,354.0
1,10,167.0,562.0,325.5
1,11,98.0,358.0,304.5
1,12,128.0,644.0,321.0
1,13,148.0,892.0,334.5
1,14,123.0,728.0,309.0
1,15,119.0,671.0,319.5
1,16,179.0,699.0,295.5
1,17,144.0,551.0,339.0
1,18,176.0,819.0,315.0
1,19,138.0,875.0,321.0
1,20,166.0,796.0,283.5
1,21,135.0,656.0,334.5
1,22,174.0,863.0,337.5
1,23,110.0,636.0,283.5
1,24,113.0,605.0,315.0
1,25,161.0,811.0,333.0
1,26,185.0,689.0,322.5
1,27,243.0,619.0,351.0
1,28,124.0,535.0,277.5
1,29,120.0,607.0,391.5
1,30,197.0,716.0,319.5
1,31,134.0,881.0,340.5
1,32,194.0,771.0,330.0
1,33,158.0,803.0,289.5
1,34,135.0,1042.0,339.0
1,35,118.0,744.0,342.0
1,36,201.0,868.0,325.5
1,37,167.0,782.0,301.5
1,38,182.0,789.0,322.5
1,39,183.0,1039.0,297.0
1,40,152.0,560.0,336.0
1,41,142.0,752.0,358.5
1,42,254.0,616.0,313.5
1,43,184.0,668.0,306.0
1,44,149.0,802.0,328.5
1,45,164.0,688.0,286.5
1,46,179.0,606.0,352.5
