Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
1,66,5.0,45.0,28.5
1,67,15.0,45.0,22.5
1,68,5.0,15.0,21.0
1,69,15.0,45.0,24.0
1,70,10.0,30.0,18.0
1,71,0.0,0.0,27.0
1,72,10.0,0.0,22.5
1,73,0.0,45.0,31.5
1,74,10.0,29.0,19.5
1,75,10.0,29.0,27.0
1,76,15.0,89.0,30.0
1,77,5.0,74.0,21.0
1,78,15.0,15.0,25.5
1,79,20.0,0.0,22.5
1,80,0.0,15.0,27.0
1,81,0.0,73.0,27.0
1,82,14.0,15.0,31.5
1,83,5.0,44.0,28.5
1,84,20.0,30.0,28.5
1,85,10.0,74.0,15.0
1,86,0.0,15.0,31.5
1,87,20.0,29.0,21.0
1,88,10.0,15.0,30.0
1,89,20.0,118.0,24.0
1,90,0.0,103.0,27.0
1,91,9.0,15.0,34.5
1,92,0.0,0.0,27.0
1,93,14.0,15.0,19.5
1,94,19.0,30.0,19.5
1,95,0.0,59.0,28.5
1,96,5.0,44.0,25.5
1,97,5.0,44.0,31.5
1,98,5.0,60.0,28.5
1,99,5.0,30.0,25.5
2,0,0.0,0.0,528.0
2,1,0.0,0.0,498.0
2,2,0.0,0.0,502.5
2,3,0.0,0.0,427.5
2,4,0.0,0.0,501.0
2,5,0.0,0.0,460.5
2,6,0.0,0.0,442.5
2,7,0.0,0.0,453.0
2,8,0.0,0.0,502.5
2,9,0.0,0.0,468.0
2,10,0.0,0.0,490.5
2,11,0.0,0.0,487.5
2,12,0.0,0.0,474.0
2,13,0.0,0.0,502.5
2,14,0.0,0.0,490.5
2,15,0.0,0.0,493.5
2,16,0.0,0.0,514.5
2,17,0.0,0.0,468.0
2,18,0.0,0.0,475.5
2,19,0.0,0.0,477.0
2,20,0.0,0.0,474.0
2,21,0.0,0.0,451.5
2,22,0.0,0.0,462.0
2,23,0.0,0.0,490.5
2,24,0.0,0.0,483.0
2,25,0.0,0.0,463.5
2,26,0.0,0.0,465.0
2,27,0.0,0.0,447.0
2,28,0.0,0.0,477.0
2,29,0.0,0.0,456.0
2,30,0.0,0.0,475.5
2,31,0.0,0.0,499.5
2,32,0.0,0.0,454.5
2,33,0.0,0.0,487.5
2,34,0.0,0.0,501.0
