Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
0,0,15.0,89.0,37.5
0,1,10.0,75.0,34.5
0,2,10.0,73.0,52.5
0,3,10.0,30.0,51.0
0,4,5.0,15.0,57.0
0,5,20.0,60.0,31.5
0,6,0.0,104.0,36.0
0,7,5.0,60.0,36.0
0,8,20.0,30.0,42.0
0,9,20.0,74.0,48.0
1,0,645.0,1936.0,520.5
1,1,366.0,2869.0,514.5
1,2,583.0,1876.0,463.5
1,3,642.0,2160.0,478.5
1,4,461.0,2488.0,490.5
1,5,518.0,2050.0,415.5
1,6,599.0,1995.0,436.5
1,7,608.0,2201.0,526.5
1,8,623.0,2090.0,544.5
1,9,516.0,2199.0,499.5
2,0,0.0,15.0,10.5
2,1,0.0,0.0,9.0
2,2,5.0,0.0,9.0
2,3,0.0,0.0,9.0
2,4,0.0,15.0,6.0
2,5,0.0,0.0,9.0
2,6,0.0,30.0,4.5
2,7,5.0,0.0,12.0
2,8,0.0,0.0,9.0
2,9,0.0,44.0,3.0
3,0,0.0,0.0,0.0
3,1,0.0,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.0,0.0,0.0
3,4,0.0,0.0,0.0
3,5,0.0,0.0,0.0
3,6,0.0,0.0,0.0
3,7,0.0,0.0,0.0
3,8,0.0,0.0,0.0
3,9,0.0,0.0,0.0
4,0,10.0,60.0,48.0
4,1,10.0,75.0,79.5
4,2,10.0,44.0,52.5
4,3,5.0,45.0,49.5
4,4,20.0,149.0,40.5
4,5,25.0,75.0,49.5
4,6,10.0,89.0,54.0
4,7,25.0,30.0,64.5
4,8,10.0,15.0,64.5
4,9,15.0,30.0,57.0
5,0,165.0,494.0,502.5
5,1,203.0,700.0,517.5
5,2,230.0,416.0,565.5
5,3,124.0,625.0,511.5
5,4,190.0,523.0,513.0
5,5,125.0,492.0,472.5
5,6,185.0,660.0,453.0
5,7,202.0,510.0,543.0
5,8,170.0,700.0,484.5
5,9,178.0,670.0,513.0
6,0,75.0,224.0,157.5
6,1,40.0,240.0,175.5
6,2,40.0,267.0,132.0
6,3,45.0,267.0,160.5
6,4,30.0,295.0,162.0
6,5,92.0,209.0,163.5
6,6,34.0,328.0,139.5
6,7,60.0,149.0,142.5
6,8,59.0,252.0,130.5
6,9,99.0,239.0,157.5
7,0,805.0,2714.0,649.5
7,1,836.0,2844.0,589.5
7,2,788.0,2517.0,591.0
7,3,677.0,2983.0,621.0
7,4,676.0,3248.0,628.5
7,5,717.0,2923.0,630.0
7,6,873.0,2906.0,591.0
7,7,825.0,2696.0,654.0
7,8,704.0,2693.0,592.5
7,9,685.0,2808.0,646.5
8,0,60.0,284.0,267.0
8,1,69.0,579.0,244.5
8,2,90.0,359.0,265.5
8,3,55.0,388.0,216.0
8,4,119.0,300.0,235.5
8,5,174.0,313.0,253.5
8,6,75.0,342.0,246.0
8,7,104.0,356.0,270.0
8,8,95.0,298.0,234.0
8,9,90.0,254.0,241.5
9,0,30.0,105.0,82.5
9,1,35.0,164.0,93.0
9,2,25.0,181.0,81.0
9,3,25.0,75.0,67.5
9,4,54.0,162.0,52.5
9,5,55.0,119.0,66.0
9,6,40.0,134.0,81.0
9,7,15.0,166.0,88.5
9,8,25.0,207.0,76.5
9,9,65.0,119.0,69.0
10,0,109.0,403.0,403.5
10,1,155.0,506.0,412.5
10,2,180.0,240.0,405.0
10,3,100.0,507.0,405.0
10,4,95.0,405.0,432.0
10,5,140.0,494.0,405.0
10,6,120.0,445.0,420.0
10,7,115.0,359.0,388.5
10,8,145.0,523.0,426.0
10,9,129.0,373.0,396.0
11,0,50.0,224.0,133.5
11,1,79.0,331.0,121.5
11,2,63.0,328.0,132.0
11,3,74.0,498.0,127.5
11,4,44.0,342.0,142.5
11,5,100.0,385.0,132.0
11,6,75.0,280.0,138.0
11,7,49.0,315.0,142.5
11,8,87.0,356.0,171.0
11,9,103.0,464.0,172.5
12,0,368.0,2329.0,592.5
12,1,392.0,1686.0,579.0
12,2,396.0,1398.0,588.0
12,3,322.0,1734.0,562.5
12,4,349.0,1524.0,586.5
12,5,352.0,2070.0,597.0
12,6,396.0,1956.0,562.5
12,7,377.0,2109.0,582.0
12,8,290.0,1836.0,544.5
12,9,500.0,1851.0,571.5
13,0,125.0,593.0,306.0
13,1,114.0,577.0,336.0
13,2,88.0,442.0,337.5
13,3,104.0,489.0,360.0
13,4,81.0,416.0,369.0
13,5,133.0,330.0,348.0
13,6,124.0,535.0,351.0
13,7,131.0,463.0,318.0
13,8,110.0,492.0,390.0
13,9,139.0,446.0,321.0
14,0,48.0,402.0,54.0
14,1,20.0,176.0,64.5
14,2,10.0,74.0,66.0
14,3,10.0,163.0,52.5
14,4,10.0,192.0,75.0
14,5,20.0,160.0,64.5
14,6,35.0,294.0,79.5
14,7,54.0,105.0,63.0
14,8,39.0,315.0,52.5
14,9,25.0,147.0,73.5
15,0,15.0,179.0,114.0
15,1,40.0,238.0,93.0
15,2,45.0,193.0,106.5
15,3,35.0,210.0,106.5
15,4,35.0,208.0,106.5
15,5,30.0,163.0,94.5
15,6,35.0,119.0,129.0
15,7,44.0,208.0,117.0
15,8,50.0,119.0,106.5
15,9,45.0,104.0,114.0
16,0,20.0,208.0,121.5
16,1,34.0,193.0,144.0
16,2,60.0,89.0,109.5
16,3,40.0,238.0,124.5
16,4,20.0,177.0,103.5
16,5,80.0,90.0,99.0
16,6,45.0,209.0,136.5
16,7,59.0,266.0,115.5
16,8,54.0,372.0,135.0
16,9,50.0,178.0,129.0
17,0,95.0,465.0,303.0
17,1,119.0,387.0,286.5
17,2,125.0,239.0,310.5
17,3,60.0,300.0,265.5
17,4,70.0,195.0,280.5
17,5,70.0,254.0,303.0
17,6,85.0,254.0,240.0
17,7,65.0,299.0,280.5
17,8,85.0,209.0,282.0
17,9,80.0,270.0,310.5
18,0,130.0,418.0,310.5
18,1,69.0,284.0,318.0
18,2,130.0,480.0,313.5
18,3,80.0,209.0,289.5
18,4,100.0,224.0,291.0
18,5,80.0,432.0,282.0
18,6,99.0,417.0,279.0
18,7,75.0,314.0,292.5
18,8,130.0,357.0,357.0
18,9,125.0,373.0,295.5
19,0,257.0,1209.0,307.5
19,1,171.0,881.0,330.0
19,2,209.0,687.0,304.5
19,3,214.0,859.0,325.5
19,4,261.0,910.0,252.0
19,5,187.0,1172.0,313.5
19,6,206.0,1098.0,336.0
19,7,179.0,798.0,352.5
19,8,301.0,918.0,310.5
19,9,171.0,1050.0,292.5
20,0,224.0,1077.0,306.0
20,1,196.0,1432.0,348.0
20,2,306.0,1011.0,360.0
20,3,240.0,1176.0,348.0
20,4,173.0,1234.0,337.5
20,5,250.0,1322.0,351.0
20,6,253.0,873.0,316.5
20,7,244.0,1102.0,387.0
20,8,304.0,769.0,388.5
20,9,166.0,761.0,349.5
21,0,161.0,714.0,309.0
21,1,109.0,476.0,298.5
21,2,74.0,491.0,279.0
21,3,105.0,670.0,307.5
21,4,133.0,491.0,315.0
21,5,152.0,429.0,346.5
21,6,138.0,533.0,336.0
21,7,99.0,502.0,289.5
