Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
0,0,431.0,2328.0,570.0
0,1,458.0,2417.0,636.0
0,2,510.0,2080.0,538.5
0,3,367.0,1713.0,543.0
0,4,359.0,2011.0,571.5
0,5,475.0,1779.0,556.5
0,6,324.0,1636.0,489.0
0,7,372.0,2215.0,568.5
0,8,455.0,1889.0,555.0
0,9,578.0,2048.0,532.5
0,10,397.0,1579.0,564.0
0,11,532.0,1855.0,558.0
0,12,455.0,2522.0,585.0
0,13,463.0,2059.0,547.5
0,14,582.0,2487.0,609.0
0,15,494.0,2508.0,541.5
0,16,428.0,2408.0,544.5
0,17,512.0,2298.0,514.5
0,18,512.0,2014.0,534.0
0,19,410.0,1663.0,517.5
0,20,321.0,2424.0,550.5
0,21,325.0,1502.0,529.5
0,22,452.0,2086.0,598.5
0,23,435.0,1838.0,586.5
0,24,354.0,1722.0,546.0
0,25,438.0,2523.0,634.5
0,26,450.0,1661.0,541.5
0,27,386.0,1847.0,565.5
0,28,366.0,2059.0,583.5
0,29,542.0,2483.0,504.0
0,30,479.0,1949.0,561.0
0,31,470.0,2019.0,559.5
0,32,435.0,1962.0,594.0
0,33,432.0,1996.0,568.5
0,34,402.0,1914.0,568.5
0,35,475.0,1971.0,582.0
0,36,585.0,1965.0,547.5
0,37,456.0,1985.0,562.5
0,38,458.0,1477.0,592.5
0,39,422.0,1897.0,592.5
0,40,421.0,2015.0,537.0
0,41,423.0,1976.0,468.0
0,42,536.0,1917.0,595.5
0,43,495.0,2238.0,591.0
0,44,530.0,1960.0,529.5
0,45,342.0,1699.0,516.0
0,46,464.0,2164.0,502.5
0,47,616.0,2004.0,510.0
0,48,455.0,1797.0,559.5
0,49,349.0,1568.0,544.5
0,50,362.0,1609.0,516.0
0,51,356.0,2731.0,573.0
0,52,496.0,2103.0,582.0
0,53,430.0,2490.0,555.0
0,54,410.0,1907.0,565.5
0,55,476.0,2123.0,567.0
0,56,364.0,1857.0,531.0
0,57,677.0,1763.0,507.0
0,58,419.0,2332.0,538.5
0,59,512.0,1960.0,546.0
0,60,462.0,2136.0,577.5
0,61,549.0,2007.0,546.0
0,62,454.0,1754.0,601.5
0,63,505.0,1852.0,570.0
0,64,793.0,1922.0,507.0
0,65,353.0,1828.0,553.5
0,66,453.0,1494.0,531.0
0,67,547.0,2237.0,543.0
0,68,567.0,1662.0,544.5
0,69,481.0,2309.0,561.0
0,70,512.0,2117.0,531.0
0,71,472.0,2477.0,568.5
0,72,411.0,2672.0,535.5
0,73,459.0,2347.0,567.0
0,74,495.0,1982.0,528.0
0,75,429.0,1807.0,519.0
0,76,441.0,1983.0,598.5
0,77,391.0,2366.0,564.0
0,78,588.0,2425.0,588.0
0,79,409.0,2098.0,561.0
0,80,320.0,1600.0,598.5
0,81,493.0,2626.0,532.5
0,82,467.0,1862.0,576.0
0,83,700.0,1977.0,597.0
0,84,439.0,2083.0,520.5
0,85,474.0,1935.0,534.0
0,86,406.0,2063.0,597.0
0,87,438.0,1881.0,525.0
0,88,319.0,1717.0,505.5
0,89,551.0,2331.0,576.0
0,90,510.0,1749.0,552.0
0,91,418.0,2027.0,516.0
0,92,473.0,2055.0,508.5
0,93,513.0,1936.0,540.0
0,94,451.0,1790.0,535.5
0,95,470.0,1817.0,609.0
0,96,387.0,2026.0,559.5
0,97,552.0,2473.0,556.5
0,98,465.0,2140.0,532.5
0,99,447.0,1838.0,618.0
1,0,5.0,15.0,21.0
1,1,15.0,44.0,18.0
1,2,5.0,30.0,19.5
1,3,10.0,0.0,25.5
1,4,10.0,15.0,24.0
1,5,10.0,45.0,27.0
1,6,15.0,59.0,25.5
1,7,5.0,0.0,25.5
1,8,15.0,45.0,25.5
1,9,15.0,15.0,25.5
1,10,5.0,15.0,15.0
1,11,0.0,15.0,34.5
1,12,20.0,0.0,24.0
1,13,10.0,15.0,25.5
1,14,20.0,15.0,24.0
1,15,5.0,45.0,19.5
1,16,5.0,75.0,19.5
1,17,5.0,15.0,25.5
1,18,15.0,0.0,19.5
1,19,5.0,30.0,22.5
1,20,20.0,45.0,22.5
1,21,5.0,15.0,31.5
1,22,10.0,89.0,24.0
1,23,25.0,45.0,25.5
1,24,5.0,15.0,21.0
1,25,0.0,15.0,25.5
1,26,10.0,0.0,21.0
1,27,10.0,133.0,21.0
1,28,15.0,15.0,18.0
1,29,10.0,45.0,22.5
1,30,5.0,15.0,28.5
1,31,10.0,15.0,24.0
1,32,5.0,0.0,21.0
1,33,5.0,74.0,10.5
1,34,0.0,45.0,24.0
1,35,10.0,0.0,30.0
1,36,15.0,60.0,25.5
1,37,19.0,45.0,19.5
1,38,9.0,89.0,24.0
1,39,5.0,30.0,15.0
1,40,0.0,30.0,30.0
1,41,25.0,44.0,31.5
