Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
1,69,260.0,1105.0,264.0
1,70,293.0,1423.0,259.5
1,71,216.0,991.0,304.5
1,72,161.0,1213.0,286.5
1,73,267.0,1203.0,268.5
1,74,286.0,1452.0,301.5
1,75,203.0,792.0,312.0
1,76,240.0,995.0,304.5
1,77,262.0,1216.0,286.5
1,78,274.0,1103.0,322.5
1,79,216.0,1187.0,291.0
1,80,178.0,848.0,229.5
1,81,290.0,1301.0,267.0
1,82,270.0,951.0,291.0
1,83,166.0,1390.0,261.0
1,84,262.0,1286.0,315.0
1,85,232.0,963.0,285.0
1,86,219.0,1153.0,303.0
1,87,225.0,781.0,243.0
1,88,204.0,772.0,286.5
1,89,271.0,1163.0,276.0
1,90,373.0,1112.0,271.5
1,91,303.0,1084.0,255.0
1,92,262.0,1122.0,268.5
1,93,176.0,1252.0,253.5
1,94,288.0,1078.0,298.5
1,95,269.0,1226.0,301.5
1,96,177.0,1106.0,280.5
1,97,245.0,1023.0,276.0
1,98,304.0,1035.0,303.0
1,99,189.0,1074.0,259.5
2,0,34.0,180.0,97.5
2,1,35.0,164.0,111.0
2,2,55.0,149.0,106.5
2,3,25.0,194.0,97.5
2,4,40.0,45.0,106.5
2,5,40.0,60.0,99.0
2,6,45.0,162.0,106.5
2,7,35.0,119.0,106.5
2,8,35.0,164.0,99.0
2,9,35.0,135.0,102.0
2,10,30.0,90.0,94.5
2,11,55.0,75.0,97.5
2,12,30.0,135.0,126.0
2,13,20.0,90.0,96.0
2,14,35.0,150.0,121.5
2,15,40.0,74.0,106.5
2,16,45.0,150.0,105.0
2,17,25.0,162.0,96.0
2,18,30.0,194.0,96.0
2,19,30.0,178.0,84.0
2,20,30.0,45.0,100.5
2,21,40.0,105.0,111.0
2,22,50.0,269.0,100.5
2,23,40.0,149.0,103.5
2,24,5.0,254.0,105.0
2,25,35.0,223.0,96.0
2,26,75.0,164.0,97.5
2,27,55.0,74.0,96.0
2,28,20.0,90.0,111.0
2,29,45.0,134.0,91.5
2,30,25.0,149.0,88.5
2,31,25.0,90.0,91.5
2,32,60.0,104.0,111.0
2,33,40.0,149.0,93.0
2,34,55.0,209.0,90.0
2,35,59.0,104.0,93.0
2,36,30.0,194.0,102.0
2,37,30.0,120.0,93.0
2,38,15.0,120.0,106.5
2,39,45.0,120.0,84.0
2,40,50.0,90.0,97.5
2,41,30.0,149.0,81.0
2,42,40.0,60.0,96.0
2,43,45.0,104.0,117.0
2,44,40.0,105.0,106.5
2,45,45.0,89.0,93.0
2,46,34.0,29.0,90.0
2,47,10.0,105.0,102.0
2,48,20.0,104.0,106.5
2,49,25.0,134.0,109.5
2,50,25.0,89.0,106.5
2,51,55.0,90.0,94.5
2,52,100.0,149.0,72.0
2,53,15.0,210.0,87.0
2,54,35.0,150.0,88.5
2,55,20.0,134.0,78.0
2,56,30.0,135.0,106.5
2,57,30.0,193.0,96.0
2,58,20.0,75.0,127.5
2,59,20.0,75.0,97.5
2,60,25.0,120.0,90.0
2,61,20.0,149.0,94.5
2,62,25.0,134.0,103.5
2,63,59.0,135.0,96.0
2,64,30.0,90.0,96.0
2,65,49.0,133.0,91.5
2,66,20.0,104.0,102.0
2,67,25.0,134.0,84.0
2,68,25.0,105.0,94.5
2,69,25.0,134.0,133.5
2,70,20.0,223.0,99.0
2,71,60.0,150.0,91.5
2,72,50.0,90.0,106.5
2,73,45.0,119.0,99.0
2,74,25.0,195.0,88.5
2,75,35.0,105.0,118.5
2,76,20.0,135.0,102.0
2,77,50.0,0.0,94.5
2,78,50.0,133.0,84.0
2,79,24.0,210.0,90.0
2,80,20.0,195.0,88.5
2,81,29.0,164.0,93.0
2,82,20.0,150.0,102.0
2,83,45.0,162.0,126.0
2,84,40.0,104.0,105.0
2,85,30.0,193.0,84.0
2,86,40.0,135.0,85.5
2,87,45.0,89.0,91.5
2,88,55.0,192.0,106.5
2,89,30.0,105.0,99.0
2,90,40.0,105.0,115.5
2,91,35.0,164.0,82.5
2,92,40.0,60.0,103.5
2,93,35.0,148.0,108.0
2,94,15.0,149.0,81.0
2,95,64.0,135.0,99.0
2,96,50.0,148.0,102.0
2,97,35.0,120.0,99.0
2,98,30.0,105.0,87.0
2,99,45.0,89.0,94.5
3,0,100.0,315.0,268.5
3,1,90.0,404.0,220.5
3,2,124.0,224.0,244.5
3,3,80.0,356.0,232.5
3,4,50.0,268.0,250.5
3,5,100.0,253.0,258.0
3,6,90.0,405.0,232.5
3,7,80.0,254.0,265.5
3,8,84.0,253.0,262.5
3,9,60.0,105.0,220.5
3,10,50.0,297.0,223.5
3,11,99.0,150.0,246.0
3,12,65.0,253.0,261.0
3,13,95.0,225.0,277.5
3,14,80.0,328.0,258.0
3,15,85.0,150.0,234.0
3,16,105.0,329.0,234.0
3,17,75.0,270.0,214.5
3,18,59.0,134.0,234.0
3,19,70.0,223.0,225.0
3,20,70.0,238.0,246.0
3,21,89.0,239.0,250.5
3,22,105.0,255.0,237.0
3,23,90.0,298.0,213.0
