Run,Random Seed,MW_implemented_wind,MW_implemented_solar,MW_implemented_urban
0,0,105.0,282.0,249.0
0,1,90.0,314.0,277.5
0,2,94.0,253.0,264.0
0,3,100.0,314.0,258.0
0,4,85.0,240.0,255.0
0,5,125.0,519.0,264.0
0,6,85.0,314.0,268.5
0,7,89.0,282.0,253.5
0,8,90.0,386.0,246.0
0,9,65.0,374.0,265.5
0,10,65.0,448.0,253.5
0,11,85.0,313.0,274.5
0,12,125.0,358.0,264.0
0,13,75.0,342.0,223.5
0,14,89.0,329.0,300.0
0,15,85.0,269.0,256.5
0,16,105.0,193.0,264.0
0,17,90.0,342.0,271.5
0,18,120.0,224.0,261.0
0,19,158.0,343.0,270.0
0,20,90.0,268.0,283.5
0,21,139.0,266.0,273.0
0,22,70.0,417.0,262.5
0,23,69.0,374.0,252.0
0,24,55.0,372.0,283.5
0,25,89.0,433.0,273.0
0,26,70.0,329.0,256.5
0,27,83.0,341.0,276.0
0,28,115.0,284.0,286.5
0,29,100.0,313.0,298.5
0,30,85.0,255.0,235.5
0,31,70.0,284.0,267.0
0,32,65.0,402.0,289.5
0,33,115.0,195.0,294.0
0,34,99.0,402.0,294.0
0,35,85.0,298.0,262.5
0,36,99.0,283.0,276.0
0,37,109.0,328.0,264.0
0,38,110.0,298.0,285.0
0,39,90.0,299.0,282.0
0,40,84.0,210.0,270.0
0,41,99.0,400.0,273.0
0,42,95.0,164.0,273.0
0,43,114.0,284.0,253.5
0,44,90.0,389.0,267.0
0,45,89.0,299.0,250.5
0,46,100.0,328.0,268.5
0,47,75.0,240.0,286.5
0,48,60.0,300.0,252.0
0,49,70.0,343.0,279.0
0,50,65.0,297.0,268.5
0,51,110.0,356.0,277.5
0,52,110.0,313.0,267.0
0,53,70.0,193.0,264.0
0,54,105.0,373.0,267.0
0,55,139.0,330.0,229.5
0,56,55.0,255.0,292.5
0,57,75.0,387.0,264.0
0,58,75.0,401.0,274.5
0,59,85.0,299.0,274.5
0,60,84.0,283.0,244.5
0,61,90.0,208.0,282.0
0,62,135.0,240.0,258.0
0,63,85.0,387.0,273.0
0,64,100.0,269.0,273.0
0,65,85.0,389.0,294.0
0,66,75.0,313.0,222.0
0,67,94.0,360.0,271.5
0,68,110.0,223.0,249.0
0,69,90.0,267.0,264.0
0,70,110.0,475.0,253.5
0,71,109.0,399.0,249.0
0,72,104.0,387.0,283.5
0,73,123.0,357.0,265.5
0,74,135.0,240.0,273.0
0,75,124.0,330.0,264.0
0,76,105.0,325.0,286.5
0,77,90.0,420.0,222.0
0,78,75.0,358.0,267.0
0,79,69.0,480.0,288.0
0,80,114.0,402.0,247.5
0,81,72.0,299.0,244.5
0,82,84.0,345.0,235.5
0,83,120.0,358.0,297.0
0,84,120.0,314.0,276.0
0,85,75.0,389.0,288.0
0,86,85.0,431.0,303.0
0,87,95.0,431.0,276.0
0,88,90.0,224.0,274.5
0,89,70.0,387.0,280.5
0,90,115.0,299.0,253.5
0,91,80.0,372.0,286.5
0,92,130.0,449.0,262.5
0,93,75.0,269.0,289.5
0,94,100.0,402.0,271.5
0,95,65.0,268.0,276.0
0,96,70.0,373.0,279.0
0,97,104.0,209.0,234.0
0,98,108.0,283.0,240.0
0,99,70.0,285.0,310.5
0,100,95.0,340.0,273.0
0,101,55.0,254.0,289.5
0,102,123.0,208.0,271.5
0,103,125.0,434.0,279.0
0,104,125.0,344.0,273.0
0,105,129.0,388.0,285.0
0,106,100.0,388.0,288.0
0,107,84.0,388.0,273.0
0,108,74.0,372.0,306.0
0,109,109.0,329.0,285.0
0,110,114.0,284.0,274.5
0,111,115.0,299.0,231.0
0,112,115.0,418.0,270.0
0,113,160.0,268.0,259.5
0,114,128.0,370.0,286.5
0,115,115.0,180.0,264.0
0,116,85.0,299.0,238.5
0,117,75.0,355.0,264.0
0,118,70.0,284.0,258.0
0,119,95.0,434.0,265.5
0,120,93.0,403.0,241.5
0,121,75.0,314.0,274.5
0,122,65.0,312.0,261.0
0,123,85.0,254.0,267.0
0,124,101.0,359.0,241.5
0,125,129.0,298.0,267.0
0,126,84.0,432.0,222.0
0,127,85.0,399.0,276.0
0,128,125.0,341.0,265.5
0,129,120.0,343.0,300.0
0,130,105.0,385.0,240.0
0,131,135.0,418.0,238.5
0,132,85.0,329.0,262.5
0,133,119.0,404.0,255.0
0,134,140.0,238.0,261.0
0,135,80.0,313.0,304.5
