Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1920254;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Thomassen Beheer B.V.;Van Rensselaerweg 2c;6956AV;SPANKEREN;Gelderland; 0,95 ; 903 ;15; 879.938 ; Daksysteem ;;
SDE1920258;Zon;2019 Zon-PV >= 1 MWp daksystemen;***;***;5445**;LANDHORST;Noord-Brabant; 1,10 ; 1.045 ;15; 1.018.875 ; Daksysteem ;;
SDE1920263;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Brasserskade 223;2497NX;'S-GRAVENHAGE;Zuid-Holland;0,43; 406 ;15; 395.509 ; Daksysteem ;;
SDE1920271;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Coöperatieve Rabobank UA;Torenplein 2;3772CX;BARNEVELD;Gelderland; 0,04 ; 42 ;15; 40.755 ; Daksysteem ;;
SDE1920276;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Alrecrea B.V.;Loperweg 3;6101AE;ECHT;Limburg; 0,20 ; 192 ;15; 181.346 ; Daksysteem ;;
SDE1920299;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);***;***;5427**;BOEKEL;Noord-Brabant; 0,65 ; 1.950 ;12; 795.600 ; n.v.t. ;;
SDE1920316;Zon;2019 Zon-PV >= 1 MWp daksystemen;Eneco Solar, Bio & Hydro B.V.;Bornholmstraat 15;9723AW;GRONINGEN;Groningen; 1,19 ; 1.133 ;15; 1.105.017 ; Daksysteem ;;
SDE1920323;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hesp Solar B.V.;Klompenmakerstraat 101-129;3194DD;HOOGVLIET ROTTERDAM;Zuid-Holland;0,77; 732 ;15; 702.240 ; Daksysteem ;;
SDE1920337;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gemeente Rheden, Gemeentehuis;Gruttoplein 3;6883DD;VELP GLD;Gelderland; 0,13 ; 124 ;15; 120.432 ; Daksysteem ;;
SDE1920358;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE DHC Groningen (Herestraat) B.V.;Herestraat 64;9711LK;GRONINGEN;Groningen; 0,16 ; 150 ;15; 141.396 ; Daksysteem ;;
SDE1920360;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Waalhaven N.z. 57-59;3087BJ;ROTTERDAM;Zuid-Holland;0,12; 114 ;15; 111.383 ; Daksysteem ;;
SDE1920362;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Groenleven;Zonnepark Oosterwolde fase 3;-;MAKKINGA;Friesland; 16,21 ; 15.400 ;15; 13.860.234 ; Veldsysteem ;;
SDE1920368;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3262**;OUD-BEIJERLAND;Zuid-Holland;0,05; 48 ;15; 46.512 ; Daksysteem ;;
