Referentie;Thema;Categorie;Aanvrager Naam;Adres;Postcode;Plaats lokatie;Provincie;Power [MW];Available production per year [MWh];Lifespan [jr.];Maximale subsidie [€];Opstelling Zon-pv;;
SDE1922385;Wind op land;2019 Wind op land;Windpark Goyerbrug B.V.;Windpark Goyerbrug - turbine 2;-;HOUTEN;Utrecht; 5,60 ; 21.625 ;15; 13.623.750 ; n.v.t. ;;
SDE1922411;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Marokkaanse Moskee Elfath Tegelen;de Breuken 7;5931PC;TEGELEN;Limburg; 0,12 ; 109 ;15; 106.519 ; Daksysteem ;;
SDE1922434;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Takkebijsters 57;4817BL;BREDA;Noord-Brabant; 0,39 ; 370 ;15; 360.312 ; Daksysteem ;;
SDE1922435;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Solar Concept B.V.;Bernestraat 1;5374PE;SCHAIJK;Noord-Brabant; 0,40 ; 380 ;15; 370.500 ; Daksysteem ;;
SDE1922455;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Voorne´S Plantenkwekerij B.V.;Torenweg 1;3235NS;ROCKANJE;Zuid-Holland;0,03; 27 ;15; 25.935 ; Daksysteem ;;
SDE1922457;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Lightsource Renewable Energy Nederland Holdings B.V.;Zonneweide Deltahoek;-;SLUIS;Zeeland; 3,24 ; 3.074 ;15; 2.859.006 ; Veldsysteem ;;
SDE1922458;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;PGGM N.V.;Noordweg-Noord 150;3704JG;ZEIST;Utrecht; 0,10 ; 94 ;15; 92.625 ; Daksysteem ;;
SDE1922463;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;9997**;ZANDEWEER;Groningen; 0,18 ; 171 ;15; 166.725 ; Daksysteem ;;
SDE1922464;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Medel B.V.;Broekdijksestraat 2nabij;4054NJ;ECHTELD;Gelderland; 16,08 ; 15.276 ;15; 14.435.820 ; Veldsysteem ;;
SDE1922469;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;"Voetbalvereniging ""Reiger Boys""";Lotte Beesedijk 1;1705NA;HEERHUGOWAARD;Noord-Holland; 0,09 ; 86 ;15; 83.363 ; Daksysteem ;;
SDE1922478;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hannover Leasing Netherlands B.V.;Blaak 8;3011TA;ROTTERDAM;Zuid-Holland;0,05; 43 ;15; 41.682 ; Daksysteem ;;
SDE1922484;Wind op land;2019 Wind op land;***;***;9883**;OLDEHOVE;Groningen; 0,03 ; 73 ;15; 35.937 ; n.v.t. ;;
SDE1922499;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Eemhavenweg 10;3089KG;ROTTERDAM;Zuid-Holland;0,02; 17 ;15; 16.965 ; Daksysteem ;;
SDE1922501;Wind op land;2019 Wind op land;Windpark Flevo Ventum B.V.;FV1;-;DRONTEN;Flevoland; 11,20 ; 43.527 ;15; 25.463.295 ; n.v.t. ;;
SDE1922507;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Abab Groep B.V.;Bovendonk 19;4707ZH;ROOSENDAAL;Noord-Brabant; 0,04 ; 40 ;15; 38.903 ; Daksysteem ;;
SDE1922524;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;6006**;WEERT;Limburg; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1922525;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Nebest Adviesgroep B.V.;Marconiweg 2;4131PD;VIANEN UT;Utrecht; 0,09 ; 84 ;15; 81.510 ; Daksysteem ;;
SDE1922543;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;De Danziger B.V.;Vleetstraat 11c;1446AP;PURMEREND;Noord-Holland; 0,23 ; 219 ;15; 213.038 ; Daksysteem ;;
SDE1922552;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Schipper;Willem Alexanderlaan 41alg;4532DB;TERNEUZEN;Zeeland; 0,10 ; 93 ;15; 87.980 ; Daksysteem ;;
SDE1922558;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;G.M. Veltkamp Holding B.V.;de Bleek 3;7468DK;ENTER;Overijssel; 0,15 ; 143 ;15; 138.938 ; Daksysteem ;;
SDE1922578;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Wouter Bronkhorst Beheer B.V.;Kruisseltseweg 5;3888NV;UDDEL;Gelderland; 0,19 ; 178 ;15; 173.580 ; Daksysteem ;;
SDE1922588;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonneweide Groetpolder B.V.;Zonneweide Groetpolder;-;NIEUWE NIEDORP;Noord-Holland; 20,42 ; 19.403 ;15; 18.044.604 ; Veldsysteem ;;
SDE1922589;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Beheermaatschappij SBB B.V.;De Smidse 2;6931KJ;WESTERVOORT;Gelderland; 0,05 ; 44 ;15; 42.608 ; Daksysteem ;;
SDE1922591;Zon;2019 Zon-PV >= 1 MWp daksystemen;Hesp Solar B.V.;Legmeerdijk 220;1187NK;AMSTELVEEN;Noord-Holland; 1,30 ; 1.235 ;15; 1.185.600 ; Daksysteem ;;
SDE1922595;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;BEE Buinerveen B.V.;Zonnepark Buinerveen xl;-;BORGER;Drenthe; 5,30 ; 5.030 ;15; 4.527.225 ; Veldsysteem ;;
SDE1922607;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Maxima Seafood Holding;Halkade 16;1976DC;IJMUIDEN;Noord-Holland; 0,20 ; 194 ;15; 188.955 ; Daksysteem ;;
SDE1922611;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3316**;DORDRECHT;Zuid-Holland;0,08; 73 ;15; 71.322 ; Daksysteem ;;
SDE1922616;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Groenleven;Provinciale weg 39;-;HOUTEN;Utrecht; 17,10 ; 16.245 ;15; 14.864.175 ; Veldsysteem ;;
SDE1922626;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;1456**;WIJDEWORMER;Noord-Holland; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1922638;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5066**;MOERGESTEL;Noord-Brabant; 0,07 ; 70 ;15; 68.543 ; Daksysteem ;;
SDE1922643;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Beheermaatschappij G & B Yerseke B.V.;Wulk 8;4401PC;YERSEKE;Zeeland; 0,29 ; 271 ;15; 263.982 ; Daksysteem ;;
SDE1922662;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Spierings Vastgoed B.V.;Docterskampstraat 8;5222AM;'S-HERTOGENBOSCH;Noord-Brabant; 0,31 ; 295 ;15; 287.138 ; Daksysteem ;;
SDE1922665;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Verhoeven-de Roij Machinale Houtbewerking B.V.;Parklaan 11;5061JV;OISTERWIJK;Noord-Brabant; 0,14 ; 130 ;15; 122.992 ; Daksysteem ;;
SDE1922667;Zon warmte;2019 Zonthermie >= 1 MW;Zonthermiepark Dorkwerd B.V.;Dorkwerd Zonthermiepark;-;GRONINGEN;Groningen; 37,44 ; 26.207 ;15; 25.945.089 ; n.v.t. ;;
SDE1922705;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Energy Outsourcing Solutions B.V.;Merellaan 515-615;3145ET;MAASSLUIS;Zuid-Holland; 0,52 ; 875 ;12; 357.000 ; n.v.t. ;;
SDE1922706;Biomassa;2019 Ketel vloeibare biomassa >= 0,5 MW (HW/E);Ten Kate Protein Technologies B.V.;Bolwerk 3;7141JM;GROENLO;Utrecht; 0,71 ; 4.970 ;12; 3.160.920 ; n.v.t. ;;
SDE1922711;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;D.B. Management B.V.;Pietseweg 4b;4751RV;OUD GASTEL;Noord-Brabant; 0,49 ; 466 ;15; 453.863 ; Daksysteem ;;
SDE1922721;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Vereniging van Eigenaren Huize Boschzicht te 's-Gravenhage;Benoordenhoutseweg 24;2596BB;'S-GRAVENHAGE;Zuid-Holland;0,20; 185 ;15; 180.619 ; Daksysteem ;;
SDE1922723;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Coöperatieve Windenergie Vereniging 'Kennemerwind U.A.';Burgervlotbrug;-;BURGERBRUG;Noord-Holland; 4,79 ; 4.548 ;15; 4.229.315 ; Veldsysteem ;;
SDE1922727;Wind op land;2019 Wind op land;Windpark Hoge Vaart-Zuid B.V.;Windplan Groen - HVZ-midden;-;DRONTEN;Flevoland; 16,80 ; 65.810 ;15; 38.498.850 ; n.v.t. ;;
SDE1922729;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gouwenberg Vastgoed B.V.;Schrijnwerkersweg 9-11;1786PC;DEN HELDER;Noord-Holland; 0,50 ; 474 ;15; 455.088 ; Daksysteem ;;
SDE1922730;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Postnl Real Estate B.V.;Loire 1;2491AN;'S-GRAVENHAGE;Zuid-Holland;0,36; 342 ;15; 328.320 ; Daksysteem ;;
SDE1922749;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pathé Theatres B.V.;Sphinxcour 1;6211XZ;MAASTRICHT;Limburg; 0,49 ; 466 ;15; 454.233 ; Daksysteem ;;
SDE1922766;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian I B.V.;Waagstraat 10;9712JX;GRONINGEN;Groningen; 0,19 ; 185 ;15; 174.792 ; Daksysteem ;;
SDE1922769;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Rivierenland, Waterschap;Kweldamweg 51;3364BC;SLIEDRECHT;Zuid-Holland;0,30; 282 ;15; 266.632 ; Veldsysteem ;;
SDE1922773;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Hacar Beheer B.V.;Technopol 29;5026SB;TILBURG;Noord-Brabant; 0,12 ; 110 ;15; 107.445 ; Daksysteem ;;
SDE1922775;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Zeilmakerstraat 16;9403VA;ASSEN;Drenthe; 0,41 ; 389 ;15; 378.837 ; Daksysteem ;;
SDE1922781;Biomassa;2019 Ketel vaste biomassa >= 5 MW staffel (HW/E);SVP Productie B.V.;Visserijweg 51;1446AR;PURMEREND;Noord-Holland; 16,00 ; 56.000 ;12; 24.192.000 ; n.v.t. ;;
SDE1922782;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Inspectorate B.V.;Petroleumweg 30;3196KD;VONDELINGENPLAAT RT;Zuid-Holland;0,15; 143 ;15; 138.938 ; Daksysteem ;;
SDE1922784;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Karel van Klaveren & Zn. B.V.;Trappenberglaan 51;2231MV;RIJNSBURG;Zuid-Holland;0,19; 183 ;15; 178.026 ; Daksysteem ;;
SDE1922815;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Eco-Energy Oirschot B.V.;Broekstraat 31;5688JX;OIRSCHOT;Noord-Brabant; 3,00 ; 9.000 ;12; 3.672.000 ; n.v.t. ;;
SDE1922825;Zon;2019 Zon-PV >= 1 MWp daksystemen;Langen Holding B.V.;Verloren van Themaatweg 5;6121RG;BORN;Limburg; 4,29 ; 4.075 ;15; 3.973.308 ; Daksysteem ;;
SDE1922831;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;bt Duurzame Installatietechniek B.V.;Zandzuigerstraat 3;5222AH;'S-HERTOGENBOSCH;Noord-Brabant; 0,19 ; 182 ;15; 177.396 ; Daksysteem ;;
SDE1922832;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting voor Fundamenteel Onderzoek der Materie;Niels Bohrweg 4;2333CA;LEIDEN;Zuid-Holland;0,11; 103 ;15; 98.496 ; Daksysteem ;;
SDE1922853;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Van de Wetering Vastgoed B.V.;Cereslaan 11;5384VT;HEESCH;Noord-Brabant; 0,14 ; 128 ;15; 123.120 ; Daksysteem ;;
SDE1922860;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7122**;AALTEN;Gelderland; 0,25 ; 236 ;15; 229.710 ; Daksysteem ;;
SDE1922861;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Zonnepark Knook B.V.;Dijksterweg 23;9977TD;KLOOSTERBUREN;Groningen; 1,75 ; 1.659 ;15; 1.517.711 ; Veldsysteem ;;
SDE1922862;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Coöperatieve Rabobank UA;Beneluxlaan 31;3526KK;UTRECHT;Utrecht; 0,04 ; 34 ;15; 33.345 ; Daksysteem ;;
SDE1922875;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Solar-Ep II B.V.;Terneuzen Tractaatweg;-;TERNEUZEN;Zeeland; 40,05 ; 38.048 ;15; 34.813.463 ; Veldsysteem ;;
SDE1922880;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pharmachemie B.V.;Swensweg 5;2031GA;HAARLEM;Noord-Holland; 0,21 ; 200 ;15; 191.520 ; Daksysteem ;;
SDE1922881;Wind op land;2019 Wind op land;***;***;8026**;ZWOLLE;Overijssel; 0,02 ; 25 ;15; 14.333 ; n.v.t. ;;
SDE1922920;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Nipmon Onroerend Goed B.V.;Montrealweg 120;3197KH;BOTLEK ROTTERDAM;Zuid-Holland;0,50; 475 ;15; 462.755 ; Daksysteem ;;
SDE1922926;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Radiotherapiegroep, locatie Arnhem, Ede;Albert Schweitzerlaan 31;7334DZ;APELDOORN;Gelderland; 0,20 ; 190 ;15; 185.250 ; Daksysteem ;;
SDE1922934;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Amp Techniek B.V.;Intendanceplantsoen 2;5363VZ;VELP NB;Noord-Brabant; 0,04 ; 38 ;15; 36.480 ; Daksysteem ;;
SDE1922936;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Kurvers Holding B.V.;Palmbrugweg 20-24;6101AJ;ECHT;Limburg; 0,30 ; 285 ;15; 273.600 ; Daksysteem ;;
SDE1922938;Wind op land;2019 Wind op land;Windpark Kubbeweg 2 B.V.;KW4;-;DRONTEN;Flevoland; 16,80 ; 68.353 ;15; 39.986.505 ; n.v.t. ;;
SDE1922949;Wind op land;2019 Wind op land;***;***;7722**;DALFSEN;Overijssel; 0,02 ; 50 ;15; 28.500 ; n.v.t. ;;
SDE1922965;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Ames Autobedrijf B.V.;Laan der Verenigde Naties 75;3316AK;DORDRECHT;Zuid-Holland;0,08; 80 ;15; 77.805 ; Daksysteem ;;
SDE1922972;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);***;***;8851**;TZUMMARUM;Friesland; 0,80 ; 1.935 ;12; 789.480 ; n.v.t. ;;
SDE1922980;Wind op land;2019 Wind op land;***;***;9833**;DEN HAM GN;Groningen; 0,03 ; 60 ;15; 29.700 ; n.v.t. ;;
SDE1922991;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;3467**;HEKENDORP;Utrecht; 0,16 ; 152 ;15; 148.200 ; Daksysteem ;;
SDE1922996;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);De Mors B.V.;Nijverheidsstraat 41a;7461AD;RIJSSEN;Overijssel; 0,84 ; 1.782 ;12; 726.868 ; n.v.t. ;;
SDE1923001;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian I B.V.;Molenweg 9;6542PP;NIJMEGEN;Gelderland; 0,22 ; 213 ;15; 201.725 ; Daksysteem ;;
SDE1923008;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;8141**;HEINO;Overijssel; 0,14 ; 130 ;15; 120.863 ; Veldsysteem ;;
SDE1923020;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);Nieuw Westerhuis Pluimvee B.V.;Westerhuslanne 20;9073TW;MARRUM;Friesland; 0,50 ; 557 ;12; 227.406 ; n.v.t. ;;
SDE1923030;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Soweco N.V.;Plesmanweg 9;7602PD;ALMELO;Overijssel; 0,12 ; 111 ;15; 108.205 ; Daksysteem ;;
SDE1923033;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Parnassia Bavo Groep B.V.;Albrandswaardsedijk 74r;3172AA;POORTUGAAL;Zuid-Holland;0,09; 86 ;15; 84.289 ; Daksysteem ;;
SDE1923067;Wind op land;2019 Wind op land;Windpark Vires Venti B.V.;VV1;-;DRONTEN;Flevoland; 8,00 ; 23.904 ;15; 13.983.840 ; n.v.t. ;;
SDE1923069;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stg. v. Interconf./Alg. Bijz. Vo te R'dam eo;Schere 47;3085DT;ROTTERDAM;Zuid-Holland;0,04; 41 ;15; 39.829 ; Daksysteem ;;
SDE1923076;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;R & H Beers Vastgoed Beheer B.V.;Hasselaarsweg 24;1704DX;HEERHUGOWAARD;Noord-Holland; 0,10 ; 95 ;15; 91.200 ; Daksysteem ;;
SDE1923078;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gemeente Den Haag;Saturnusstraat 95;2516AG;'S-GRAVENHAGE;Zuid-Holland;0,33; 317 ;15; 309.368 ; Daksysteem ;;
SDE1923086;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;H.T. Beentjes Beheer B.V.;Geesterweg 6;1911NB;UITGEEST;Noord-Holland; 0,20 ; 185 ;15; 180.619 ; Daksysteem ;;
SDE1923098;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;IVH Energy B.V.;Grevelingstraat 81;2161WE;LISSE;Zuid-Holland;0,40; 379 ;15; 369.574 ; Daksysteem ;;
SDE1923102;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;DFDS Seaways B.V.;Vulcaanweg 20;3134KL;VLAARDINGEN;Zuid-Holland;0,68; 648 ;15; 583.110 ; Daksysteem ;;
SDE1923104;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Paul Hofman Holding B.V.;Zoerbeemden 9;6245LR;EIJSDEN;Limburg; 0,46 ; 437 ;15; 419.520 ; Daksysteem ;;
SDE1923106;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting ASVZ;Charloisse Lagedijk 951;3084LD;ROTTERDAM;Zuid-Holland;0,42; 395 ;15; 379.457 ; Daksysteem ;;
SDE1923133;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Curfs Holding B.V.;Gronsvelderweg 1;6247ER;GRONSVELD;Limburg; 0,50 ; 474 ;15; 455.088 ; Daksysteem ;;
SDE1923158;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7434**;LETTELE;Overijssel; 0,07 ; 67 ;15; 64.838 ; Daksysteem ;;
SDE1923191;Wind op land;2019 Wind op land;***;***;9985**;OOSTERNIELAND;Groningen; 0,03 ; 73 ;15; 31.581 ; n.v.t. ;;
SDE1923193;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Coöperatieve Rabobank UA;Lavendelheide 15;9202PD;DRACHTEN;Friesland; 0,05 ; 43 ;15; 41.682 ; Daksysteem ;;
SDE1923204;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Morgenzon Energie B.V.;Teugseweg 12;7418AM;DEVENTER;Overijssel; 1,00 ; 950 ;15; 926.227 ; Daksysteem ;;
SDE1923209;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Pathé Theatres B.V.;Ruiterskwartier 6a;8911BP;LEEUWARDEN;Friesland; 0,23 ; 215 ;15; 209.796 ; Daksysteem ;;
SDE1923226;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;8711**;WORKUM;Friesland; 0,13 ; 127 ;15; 124.044 ; Daksysteem ;;
SDE1923227;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Warehouses De Pauw Nederland N.V.;Galvaniweg 1;8013RG;ZWOLLE;Overijssel; 0,67 ; 632 ;15; 587.793 ; Daksysteem ;;
SDE1923229;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE DHC Apeldoorn (Hoofdstraat) B.V.;Hoofdstraat 77;7311JW;APELDOORN;Gelderland; 0,09 ; 88 ;15; 83.222 ; Daksysteem ;;
SDE1923231;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;I-Team Global B.V.;Flight Forum 3725;5657DX;EINDHOVEN;Noord-Brabant; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1923237;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;4197**;BUURMALSEN;Gelderland; 0,47 ; 445 ;15; 433.958 ; Daksysteem ;;
SDE1923243;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian I B.V.;Burchtstraat 3;6511RA;NIJMEGEN;Gelderland; 0,02 ; 16 ;15; 15.083 ; Daksysteem ;;
SDE1923286;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Gebr. Blom Handling B.V.;Rietwijkeroordweg 59;1432JG;AALSMEER;Noord-Holland; 0,43 ; 410 ;15; 400.140 ; Daksysteem ;;
SDE1923315;Biomassa;2019 Ketel vaste biomassa < 5 MW (HW/E);HQ Pack B.V.;Collseweg 27;5674TR;NUENEN;Noord-Brabant; 0,60 ; 865 ;12; 353.087 ; n.v.t. ;;
SDE1923318;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Printable B.V.;Marchandweg 33;3771MN;BARNEVELD;Gelderland; 0,06 ; 58 ;15; 56.502 ; Daksysteem ;;
SDE1923319;Wind op land;2019 Wind op land;Windpark Hondtocht 3 B.V.;Windplan Groen - HTZ-zuid;-;DRONTEN;Flevoland; 16,80 ; 67.091 ;15; 39.248.235 ; n.v.t. ;;
SDE1923323;Wind op land;2019 Wind op land;***;***;7722**;DALFSEN;Overijssel; 0,02 ; 27 ;15; 15.795 ; n.v.t. ;;
SDE1923333;Wind op land;2019 Wind op land;Schelde Windenergie B.V.;Ritthemsestraat 500;4389PA;RITTHEM;Zeeland; 8,60 ; 24.369 ;15; 14.255.924 ; n.v.t. ;;
SDE1923336;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Handelsonderneming Dirks B.V.;Aziëlaan 8 8;6199AG;MAASTRICHT-AIRPORT;Limburg; 0,16 ; 152 ;15; 145.920 ; Daksysteem ;;
SDE1923343;Zon;2019 Zon-PV >= 1 MWp daksystemen;Flevoland Duurzame Energie B.V.;Strandgaperweg 20;8256PZ;BIDDINGHUIZEN;Flevoland; 3,00 ; 2.850 ;15; 2.650.500 ; Daksysteem ;;
SDE1923350;Biomassa;2019 Ketel op houtpellets >= 10 MW (HW/E);Vattenfall Power Generation Netherlands B.V.;Overdiemerweg 35;1111PP;DIEMEN;Noord-Holland; 100,00 ; 600.000 ;12; 396.000.000 ; n.v.t. ;;
SDE1923355;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Swanenberg Beheer B.V.;Zeelandsedreef 2;5374RR;SCHAIJK;Noord-Brabant; 0,24 ; 227 ;15; 221.374 ; Daksysteem ;;
SDE1923372;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Coöperatieve Rabobank UA;Willemskade 1;8011AC;ZWOLLE;Overijssel; 0,03 ; 28 ;15; 26.862 ; Daksysteem ;;
SDE1923378;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Stichting Ceder Groep;Startbaan 3;1185XP;AMSTELVEEN;Noord-Holland; 0,29 ; 276 ;15; 268.613 ; Daksysteem ;;
SDE1923384;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;7942**;MEPPEL;Drenthe; 0,20 ; 190 ;15; 176.700 ; Veldsysteem ;;
SDE1923392;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Havenbedrijf Rotterdam N.V.;Heijplaatstraat 17;3089JB;ROTTERDAM;Zuid-Holland;0,03; 27 ;15; 26.560 ; Daksysteem ;;
SDE1923406;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Grieks Restaurant Aphrodite B.V.;Rijksweg 122;6325AG;BERG EN TERBLIJT;Limburg; 0,03 ; 24 ;15; 23.157 ; Daksysteem ;;
SDE1923412;Zon;2019 Zon-PV >= 1 MWp veld- of watersysteem;Waterschap Aa en Maas;Bakelseweg 2;5735SC;AARLE-RIXTEL;Noord-Brabant; 2,09 ; 1.987 ;15; 1.848.282 ; Veldsysteem ;;
SDE1923414;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5977**;EVERTSOORD;Limburg; 0,15 ; 143 ;15; 136.800 ; Daksysteem ;;
SDE1923421;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Groenhart Group B.V.;Polderweg 2;1446AA;PURMEREND;Noord-Holland; 0,50 ; 470 ;15; 458.494 ; Daksysteem ;;
SDE1923426;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;***;***;5133**;RIEL;Noord-Brabant; 0,50 ; 474 ;15; 462.199 ; Daksysteem ;;
SDE1923434;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Crematorium Zoomstede;Mastendreef 5;4623RE;BERGEN OP ZOOM;Noord-Brabant; 0,08 ; 74 ;15; 72.155 ; Daksysteem ;;
SDE1923438;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE DHC Arnhem (Rijnstraat) B.V.;Rijnstraat 38;6811EX;ARNHEM;Gelderland; 0,10 ; 96 ;15; 91.032 ; Daksysteem ;;
SDE1923467;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Ko Kolk Hortensia B.V.;Meerlandenweg 21;1187ZR;AMSTELVEEN;Noord-Holland; 0,10 ; 92 ;15; 89.847 ; Daksysteem ;;
SDE1923484;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Warehouses De Pauw Nederland N.V.;Prismalaan Oost 19;-;BLEISWIJK;Zuid-Holland;0,95; 903 ;15; 839.325 ; Daksysteem ;;
SDE1923485;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Sansyl Beheer B.V.;Anna van Renesseplein 8;1911KN;UITGEEST;Noord-Holland; 0,03 ; 30 ;15; 29.060 ; Daksysteem ;;
SDE1923504;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;CBRE Dret Custodian I B.V.;Stadhuisplein 6;5461KS;VEGHEL;Noord-Brabant; 0,19 ; 180 ;15; 169.675 ; Daksysteem ;;
SDE1923516;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Bravast B.V.;Pascalweg 1;3208KL;SPIJKENISSE;Zuid-Holland;0,07; 67 ;15; 64.838 ; Daksysteem ;;
SDE1923520;Zon;2019 Zon-PV >= 15 kWp en < 1 MWp;Omrin;Hidalgoweg 5;8938BA;LEEUWARDEN;Friesland; 0,08 ; 73 ;15; 71.322 ; Daksysteem ;;
SDE1923523;Zon;2019 Zon-PV >= 1 MWp daksystemen;Swanenberg Beheer B.V.;Spijksedijk 5;6917AB;SPIJK GEM ZEVENAAR;Gelderland; 1,37 ; 1.297 ;15; 1.264.332 ; Daksysteem ;;
